"Freq [GHz]","re(Z(p1,p1)) []","im(Z(p1,p1)) []","re(Z(p2,p2)) []","im(Z(p2,p2)) []","re(Z(p2,p1)) []","im(Z(p2,p1)) []"
1.726,0.42392629554132,5.61635385299212,0.428202441760196,5.57347806376232,0.0454627334331591,0.142139270098837
1.728,0.416087200143608,5.68379817684125,0.420278733988354,5.64126498753997,0.0464055040824771,0.147880554897691
1.73,0.408547490085992,5.75002119800211,0.412656934277803,5.70782347134899,0.0474542023216768,0.153569558916825
1.732,0.401292688424738,5.81506886512299,0.405322463665213,5.77319965322792,0.0486075237999519,0.159200004185242
1.734,0.39430921076551,5.87898488646112,0.398261640537678,5.83743742515656,0.0498637613681079,0.164765782527126
1.736,0.387584300267783,5.94181086305427,0.391461615387546,5.90057856635248,0.0512208206032981,0.170260982366048
1.738,0.381105967970796,6.00358641256391,0.384910310901547,5.96266286724552,0.0526762376299106,0.175679914091814
1.74,0.374862937948097,6.0643492845547,0.378596366891005,6.02372824489336,0.054227199066901,0.181017133747681
1.742,0.368844596850721,6.12413546790348,0.372509089622453,6.08381085052991,0.0558705639039536,0.186267464820243
1.744,0.363040947445907,6.1829792909681,0.366638405155244,6.14294516987538,0.0576028870848054,0.191426017942211
1.746,0.357442565799505,6.24091351508862,0.360974816333561,6.20116411677958,0.0594204445563403,0.196488208348935
1.748,0.352040561786217,6.29796942194078,0.35550936311695,6.25849912071761,0.0613192595268867,0.201449770962059
1.75,0.346826542644609,6.35417689521559,0.350233585965027,6.31498020861084,0.0632951296668032,0.206306773007592
